                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3708,                 17.594,                 1.1992,                0.55494,                0.39399,                0.36288,                 0.1397,                 2.1917,                 2.3319,                 1.0746,             0.00066596,             0.00066596,             0.00066596
                      2,                 1.7318,                 1.3388,                 0.9788,                0.67961,                0.67378,                0.60561,                0.25707,                 1.8659,                 1.8142,                0.96931,              0.0012007,              0.0012007,              0.0012007
                      3,                 1.5798,                 1.0786,                0.94756,                0.61944,                0.56789,                 0.5876,                0.20482,                 2.4415,                 1.4654,                 1.0708,              0.0016034,              0.0016034,              0.0016034
                      4,                 1.4954,                0.99092,                0.92867,                 0.7616,                 0.7057,                0.70486,                0.34441,                 1.7753,                 1.5491,                 0.9594,               0.001406,               0.001406,               0.001406
                      5,                 1.4431,                0.93386,                0.91409,                 0.8276,                 0.6684,                 0.6704,                0.38431,                 1.5408,                 1.8219,                0.92374,               0.001208,               0.001208,               0.001208
                      6,                 1.3938,                 0.8922,                0.90632,                0.76769,                0.71111,                0.73441,                0.39669,                 1.5849,                 1.5143,                0.91232,                0.00101,                0.00101,                0.00101
                      7,                 1.3451,                0.84899,                0.89704,                0.79306,                0.71321,                0.72629,                0.41837,                 1.4846,                 1.8225,                0.89941,               0.000812,               0.000812,               0.000812
                      8,                 1.3082,                0.81143,                0.88929,                 0.7579,                0.70372,                0.74055,                0.39979,                 1.5053,                 1.6728,                 0.9019,               0.000614,               0.000614,               0.000614
                      9,                 1.2684,                0.78643,                0.88168,                0.78142,                0.70609,                0.71897,                0.41861,                 1.4575,                 1.8455,                0.89544,               0.000416,               0.000416,               0.000416
                     10,                  1.224,                0.75297,                0.87943,                0.77403,                0.73734,                0.75255,                0.43974,                  1.439,                 1.6872,                 0.8905,               0.000218,               0.000218,               0.000218
